series,volume,issue_date,order,title_es,author,feature_type,themes,page_start,page_end,image_count,review,file
6,2,2012-12,01,Editorial,Edgardo Alegría Reichmann,editorial,,3,3,0,,serie-6/vol-02/01-editorial.md
6,2,2012-12,02,Se suprime el oficio de correo Mayor del Reino de Guatemala,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,4,11,3,,serie-6/vol-02/02-se-suprime-el-oficio-de-correo-mayor-del-reino-de-guatemala.md
6,2,2012-12,03,Quedan abolidos los titulo de distincio en las provincias Unidas del centro de america,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,12,16,4,,serie-6/vol-02/03-quedan-abolidos-los-titulo-de-distincio-en-las-provincias-un.md
6,2,2012-12,04,Los censos en Honduras,Manuel Balladares,investigacion,Historia a través del correo,17,24,17,,serie-6/vol-02/04-los-censos-en-honduras.md
6,2,2012-12,05,Animales para el uso de transporte epistolar,Edgardo Alegría Reichmann,investigacion,Transporte y modernidad,25,29,6,,serie-6/vol-02/05-animales-para-el-uso-de-transporte-epistolar.md
6,2,2012-12,06,El Sobresaliente de Hoy,Edgardo Alegría Reichmann,sobresaliente,Historia a través del correo,30,31,1,,serie-6/vol-02/06-el-sobresaliente-de-hoy.md
6,2,2012-12,07,Intercambio filatélico,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,32,32,0,,serie-6/vol-02/07-intercambio-filatelico.md
6,2,2012-12,08,Nuevas emisiones,Edgardo Alegría Reichmann,novedades,Historia postal y falsificaciones,33,null,0,,serie-6/vol-02/08-nuevas-emisiones.md
6,5,2014-06,01,Editorial,Edgardo Alegría Reichmann,editorial,,3,3,0,,serie-6/vol-05/01-editorial.md
6,5,2014-06,02,El escándalo de los sellos de oro treinta y cuatro años despues,Edgardo Alegría Reichmann,investigacion,Intriga y escándalo,4,20,8,,serie-6/vol-05/02-el-escandalo-de-los-sellos-de-oro-treinta-y-cuatro-anos-desp.md
6,5,2014-06,03,Una carta con mucha historia,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,21,33,10,,serie-6/vol-05/03-una-carta-con-mucha-historia.md
6,5,2014-06,04,Historia del aeropuerto Toncontín,Edgardo Alegría Reichmann,investigacion,Transporte y modernidad,34,41,8,,serie-6/vol-05/04-historia-del-aeropuerto-toncontin.md
6,5,2014-06,05,Falleción don eugenio Von Boeck,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,42,42,3,,serie-6/vol-05/05-fallecion-don-eugenio-von-boeck.md
6,5,2014-06,06,El Sobresaliente de Hoy,Edgardo Alegría Reichmann,sobresaliente,Historia a través del correo,43,46,3,,serie-6/vol-05/06-el-sobresaliente-de-hoy.md
6,5,2014-06,07,El récord mundial de pegar estampillas,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,47,47,0,,serie-6/vol-05/07-el-record-mundial-de-pegar-estampillas.md
6,5,2014-06,08,El Guyana Magenta a la venta,Edgardo Alegría Reichmann,investigacion,Transporte y modernidad,48,null,1,,serie-6/vol-05/08-el-guyana-magenta-a-la-venta.md
6,7,2015-06,01,Editorial zadik collier,Edgardo Alegría Reichmann,editorial,,3,3,0,empty-body,serie-6/vol-07/01-editorial-zadik-collier.md
6,7,2015-06,02,El primer hondureño en la antártida,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,4,20,0,empty-body,serie-6/vol-07/02-el-primer-hondureno-en-la-antartida.md
6,7,2015-06,03,Las casas natales de nuestros próceres,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,21,30,0,empty-body,serie-6/vol-07/03-las-casas-natales-de-nuestros-proceres.md
6,7,2015-06,04,Resolviendo un enigma más,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,31,35,0,empty-body,serie-6/vol-07/04-resolviendo-un-enigma-mas.md
6,7,2015-06,05,Honduras-guía de los matasellos 1878-1940,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,36,42,0,empty-body,serie-6/vol-07/05-honduras-guia-de-los-matasellos-1878-1940.md
6,7,2015-06,06,Como entusiasmar la filatelia ¿personas por correo?,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,43,45,0,empty-body,serie-6/vol-07/06-como-entusiasmar-la-filatelia-personas-por-correo.md
6,7,2015-06,07,Uso insólito del servicio postal,Edgardo Alegría Reichmann,investigacion,Curiosidades,46,51,0,empty-body,serie-6/vol-07/07-uso-insolito-del-servicio-postal.md
6,7,2015-06,08,El Sobresaliente de Hoy,Edgardo Alegría Reichmann,sobresaliente,Historia a través del correo,52,53,0,empty-body,serie-6/vol-07/08-el-sobresaliente-de-hoy.md
6,7,2015-06,09,Copán en hojita souvenir de mozambique,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,54,54,0,empty-body,serie-6/vol-07/09-copan-en-hojita-souvenir-de-mozambique.md
6,7,2015-06,10,Buzón filatélico/novedades,Edgardo Alegría Reichmann,novedades,Historia a través del correo,55,null,31,,serie-6/vol-07/10-buzon-filatelico-novedades.md
6,9,2016-06,01,Editorial,Edgardo Alegría Reichmann,editorial,,3,3,0,,serie-6/vol-09/01-editorial.md
6,9,2016-06,02,La controversial presencia de Edward a. Burke en Honduras y su relación con la Lotería de Louisiana,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,4,18,9,,serie-6/vol-09/02-la-controversial-presencia-de-edward-a-burke-en-honduras-y-s.md
6,9,2016-06,03,Honduras-guía de los matasellos (segunda parte),Craig F. Anderson,investigacion,Historia postal y falsificaciones,19,23,4,,serie-6/vol-09/03-honduras-guia-de-los-matasellos-segunda-parte.md
6,9,2016-06,04,Dos buques nombrados en honor a Francisco Morazán,Edgardo Alegría Reichmann,investigacion,Transporte y modernidad,24,29,4,,serie-6/vol-09/04-dos-buques-nombrados-en-honor-a-francisco-morazan.md
6,9,2016-06,05,Los sellos sobretasa “centenario de la muerte del General Francisco morazán” y “cruz Roja hondureña”,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,30,36,11,,serie-6/vol-09/05-los-sellos-sobretasa-centenario-de-la-muerte-del-general-fra.md
6,9,2016-06,06,Nos visitó nuestro socio Christian b,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,37,37,2,,serie-6/vol-09/06-nos-visito-nuestro-socio-christian-b.md
6,9,2016-06,07,El Sobresaliente de Hoy,Edgardo Alegría Reichmann,sobresaliente,Historia a través del correo,38,38,1,,serie-6/vol-09/07-el-sobresaliente-de-hoy.md
6,9,2016-06,08,Buzón de novedades,Edgardo Alegría Reichmann,novedades,Historia a través del correo,39,null,12,,serie-6/vol-09/08-buzon-de-novedades.md
6,10,2016-12,01,Editorial,Edgardo Alegría Reichmann,editorial,,3,3,0,,serie-6/vol-10/01-editorial.md
6,10,2016-12,02,Las Islas del Cisne recuperan su soberanía,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,4,19,15,,serie-6/vol-10/02-las-islas-del-cisne-recuperan-su-soberania.md
6,10,2016-12,03,El sobre que escapó a una revolución,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,20,44,16,,serie-6/vol-10/03-el-sobre-que-escapo-a-una-revolucion.md
6,10,2016-12,04,Los matasellos Doane,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,45,47,7,,serie-6/vol-10/04-los-matasellos-doane.md
6,10,2016-12,05,El Sobresaliente de Hoy,Edgardo Alegría Reichmann,sobresaliente,Historia postal y falsificaciones,48,48,3,,serie-6/vol-10/05-el-sobresaliente-de-hoy.md
6,10,2016-12,06,Buzón de novedades,Edgardo Alegría Reichmann,novedades,Historia a través del correo,49,null,20,,serie-6/vol-10/06-buzon-de-novedades.md
6,11,2017-06,01,Editorial,Edgardo Alegría Reichmann,editorial,,3,3,0,,serie-6/vol-11/01-editorial.md
6,11,2017-06,02,Una carta de Poyais,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,4,28,11,,serie-6/vol-11/02-una-carta-de-poyais.md
6,11,2017-06,03,…hará salir con propio…,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,29,30,1,,serie-6/vol-11/03-hara-salir-con-propio.md
6,11,2017-06,04,Un sello con historia,Edgardo Alegría Reichmann,sello-con-historia,Historia a través del correo,31,33,2,,serie-6/vol-11/04-un-sello-con-historia.md
6,11,2017-06,05,¿es antiguo o romano?,Craig Anderson,investigacion,Historia postal y falsificaciones,34,34,5,,serie-6/vol-11/05-es-antiguo-o-romano.md
6,11,2017-06,06,Personajes en los sellos de Honduras,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,35,39,0,,serie-6/vol-11/06-personajes-en-los-sellos-de-honduras.md
6,11,2017-06,07,Una marca fuera de control,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,40,40,3,,serie-6/vol-11/07-una-marca-fuera-de-control.md
6,11,2017-06,08,El Sobresaliente de Hoy,Edgardo Alegría Reichmann,sobresaliente,Historia a través del correo,41,42,4,,serie-6/vol-11/08-el-sobresaliente-de-hoy.md
6,11,2017-06,09,Buzón de novedades,Edgardo Alegría Reichmann,novedades,Historia a través del correo,43,null,0,,serie-6/vol-11/09-buzon-de-novedades.md
6,12,2017-12,01,Editorial,Edgardo Alegría Reichmann,editorial,,3,3,0,,serie-6/vol-12/01-editorial.md
6,12,2017-12,02,Marcas de agua en la prefilatelia de Honduras,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,4,25,40,,serie-6/vol-12/02-marcas-de-agua-en-la-prefilatelia-de-honduras.md
6,12,2017-12,03,¿tiene alguien un scott 106b?,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,26,27,1,,serie-6/vol-12/03-tiene-alguien-un-scott-106b.md
6,12,2017-12,04,Lista especializada de los primeros vuelos desde y hacia Honduras,Mauricio Mejía,investigacion,Transporte y modernidad,28,30,0,,serie-6/vol-12/04-lista-especializada-de-los-primeros-vuelos-desde-y-hacia-hon.md
6,12,2017-12,05,Matasellos y marcas falsas sobre la emisión de la Locomotora de 1898,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,31,36,17,,serie-6/vol-12/05-matasellos-y-marcas-falsas-sobre-la-emision-de-la-locomotora.md
6,12,2017-12,06,Honduras presente en Brasilia 2017,Mauricio Mejía,investigacion,Historia a través del correo,37,38,1,,serie-6/vol-12/06-honduras-presente-en-brasilia-2017.md
6,12,2017-12,07,Un sello con historia,Edgardo Alegría Reichmann,sello-con-historia,Historia a través del correo,39,40,4,,serie-6/vol-12/07-un-sello-con-historia.md
6,12,2017-12,08,El Sobresaliente de Hoy,Edgardo Alegría Reichmann,sobresaliente,Historia a través del correo,41,41,3,,serie-6/vol-12/08-el-sobresaliente-de-hoy.md
6,12,2017-12,09,Buzón de novedades,Edgardo Alegría Reichmann,novedades,Historia a través del correo,42,null,3,,serie-6/vol-12/09-buzon-de-novedades.md
7,1,2018-06,01,Editorial,Edgardo Alegría Reichmann,editorial,,3,3,1,,serie-7/vol-01/01-editorial.md
7,1,2018-06,02,¿pasó Albert Einstein por amapala?,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,4,13,8,,serie-7/vol-01/02-paso-albert-einstein-por-amapala.md
7,1,2018-06,03,"Edward meeker haight, último piloto de la Central American Line",Edgardo Alegría Reichmann,investigacion,Transporte y modernidad,14,18,8,,serie-7/vol-01/03-edward-meeker-haight-ultimo-piloto-de-la-central-american-li.md
7,1,2018-06,04,La locomotora en la génesis del correo ambulante y paquebote,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,19,20,4,,serie-7/vol-01/04-la-locomotora-en-la-genesis-del-correo-ambulante-y-paquebote.md
7,1,2018-06,05,Correo certificado/primer aviso,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,21,22,5,,serie-7/vol-01/05-correo-certificado-primer-aviso.md
7,1,2018-06,06,La emisión José maría Medina de 1907,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,23,25,9,,serie-7/vol-01/06-la-emision-jose-maria-medina-de-1907.md
7,1,2018-06,07,Un sello con historia,Edgardo Alegría Reichmann,sello-con-historia,Historia postal y falsificaciones,26,30,2,,serie-7/vol-01/07-un-sello-con-historia.md
7,1,2018-06,08,Como arruinar un sobre,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,31,32,2,,serie-7/vol-01/08-como-arruinar-un-sobre.md
7,1,2018-06,09,Un buzón de 1877 en tegugigalpa,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,33,34,3,,serie-7/vol-01/09-un-buzon-de-1877-en-tegugigalpa.md
7,1,2018-06,10,El Sobresaliente de Hoy,Edgardo Alegría Reichmann,sobresaliente,Transporte y modernidad,35,35,1,,serie-7/vol-01/10-el-sobresaliente-de-hoy.md
7,1,2018-06,11,Buzón de novedades,Edgardo Alegría Reichmann,novedades,Historia a través del correo,36,null,2,,serie-7/vol-01/11-buzon-de-novedades.md
7,2,2018-12,01,Editorial,Edgardo Alegría Reichmann,editorial,,3,3,0,,serie-7/vol-02/01-editorial.md
7,2,2018-12,02,Enteros postales con respuesta pagada exterior usada de regreso,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,4,13,17,,serie-7/vol-02/02-enteros-postales-con-respuesta-pagada-exterior-usada-de-regr.md
7,2,2018-12,03,Las sobrecargas “morazán” de 1923,Craig Anderson,investigacion,Historia postal y falsificaciones,14,20,5,,serie-7/vol-02/03-las-sobrecargas-morazan-de-1923.md
7,2,2018-12,04,"El caso del Scott c20b, usado",Craig Anderson,investigacion,Historia postal y falsificaciones,21,23,6,,serie-7/vol-02/04-el-caso-del-scott-c20b-usado.md
